split,filename,reading,position,digit,class_id,x_center,y_center,width,height,x0_px,y0_px,x1_px,y1_px,image_width,image_height,direction_rotation,annotation_source,review_status,transition_state,notes
train,meter_20200701.JPEG,1784,0,1,1,0.41717400,0.54242800,0.01766100,0.03166900,836,809,872,857,2048,1536,180,human-makesense,reviewed,unknown,
train,meter_20200701.JPEG,1784,1,7,7,0.39520100,0.54506700,0.01775900,0.03288700,791,812,828,862,2048,1536,180,human-makesense,reviewed,unknown,
train,meter_20200701.JPEG,1784,2,8,8,0.37302100,0.54648800,0.01948800,0.03248100,744,814,784,864,2048,1536,180,human-makesense,reviewed,unknown,
train,meter_20200701.JPEG,1784,3,4,4,0.35033500,0.54749800,0.01918400,0.03533300,698,814,737,868,2048,1536,180,human-makesense,reviewed,unknown,
train,meter_20201111.JPEG,1819,0,1,1,0.40380900,0.38558600,0.03418000,0.05893300,792,547,862,638,2048,1536,0,human-makesense,reviewed,unknown,
train,meter_20201111.JPEG,1819,1,8,8,0.44924800,0.38558600,0.03705000,0.05893300,882,547,958,638,2048,1536,0,human-makesense,reviewed,unknown,
train,meter_20201111.JPEG,1819,2,1,1,0.49560500,0.38395900,0.02832000,0.06218800,986,542,1044,638,2048,1536,0,human-makesense,reviewed,unknown,
train,meter_20201111.JPEG,1819,3,9,9,0.53784200,0.38233100,0.03369100,0.06544300,1067,537,1136,638,2048,1536,0,human-makesense,reviewed,unknown,
train,meter_20251009.JPEG,2279,0,2,2,0.44420400,0.50799500,0.04986700,0.02697900,644,1013,721,1068,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20251009.JPEG,2279,1,2,2,0.44225100,0.47851600,0.05377300,0.02734400,638,952,721,1008,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20251009.JPEG,2279,2,7,7,0.44061800,0.44943200,0.05232100,0.02203300,637,898,717,943,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20251009.JPEG,2279,3,9,9,0.43624900,0.42029200,0.05088400,0.02632800,631,834,709,888,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260130.JPEG,2307,0,2,2,0.42670200,0.54345700,0.04886600,0.02539100,618,1087,693,1139,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260130.JPEG,2307,1,3,3,0.42670200,0.51553000,0.04886600,0.02655700,618,1029,693,1083,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260130.JPEG,2307,2,0,0,0.42478800,0.48210700,0.04625800,0.02866700,617,958,688,1017,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260130.JPEG,2307,3,7,7,0.41992200,0.45214800,0.04687500,0.02246100,609,903,681,949,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260202.JPEG,2308,0,2,2,0.43087200,0.48278900,0.03146300,0.01586800,638,973,686,1005,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260202.JPEG,2308,1,3,3,0.43106500,0.46336200,0.02809800,0.01688100,641,932,684,966,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260202.JPEG,2308,2,0,0,0.43106500,0.44075100,0.02809800,0.02017400,641,882,684,923,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260202.JPEG,2308,3,8,8,0.42987300,0.41917700,0.03048200,0.01901800,637,839,684,878,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260210.JPEG,2310,0,2,2,0.42408400,0.46093800,0.04520000,0.02343700,617,920,686,968,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260210.JPEG,2310,1,3,3,0.42408400,0.43212900,0.04520000,0.02343700,617,861,686,909,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260210.JPEG,2310,2,1,1,0.42408400,0.40249400,0.04520000,0.02569200,617,798,686,851,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260210.JPEG,2310,3,0,0,0.42408400,0.37207000,0.04520000,0.02441400,617,737,686,787,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260214.JPEG,2311,0,2,2,0.41581300,0.53149400,0.04408500,0.02002000,605,1068,673,1109,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260214.JPEG,2311,1,3,3,0.41581300,0.50839400,0.04408500,0.02129700,605,1019,673,1063,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260214.JPEG,2311,2,1,1,0.41424000,0.48284500,0.04723000,0.02037800,600,968,673,1010,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260214.JPEG,2311,3,1,1,0.41424000,0.45678700,0.04723000,0.01904300,600,916,673,955,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260216.JPEG,2312,0,2,2,0.46972700,0.56775800,0.02148400,0.04661400,940,836,984,908,2048,1536,180,human-makesense,reviewed,unknown,
train,meter_20260216.JPEG,2312,1,3,3,0.44140600,0.56775800,0.02246100,0.04661400,881,836,927,908,2048,1536,180,human-makesense,reviewed,unknown,
train,meter_20260216.JPEG,2312,2,1,1,0.41406300,0.56775800,0.02441400,0.04661400,823,836,873,908,2048,1536,180,human-makesense,reviewed,unknown,
train,meter_20260216.JPEG,2312,3,2,2,0.38605900,0.56763700,0.02280300,0.04637100,767,836,814,908,2048,1536,180,human-makesense,reviewed,unknown,
train,meter_20260220.JPEG,2313,0,2,2,0.47053700,0.52190100,0.03134300,0.01734000,699,1051,747,1087,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260220.JPEG,2313,1,3,3,0.47028600,0.50361900,0.03184600,0.01696300,698,1014,747,1049,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260220.JPEG,2313,2,1,1,0.46929700,0.48533600,0.03382300,0.01658600,695,977,747,1011,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260220.JPEG,2313,3,3,3,0.46929700,0.46780800,0.03382300,0.01545500,695,942,747,974,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260224.JPEG,2314,0,2,2,0.42628700,0.47892800,0.04286400,0.02450200,622,956,688,1006,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260224.JPEG,2314,1,3,3,0.42528200,0.45009000,0.04487500,0.02714100,619,894,688,950,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260224.JPEG,2314,2,1,1,0.42352300,0.42163000,0.04839300,0.02299500,613,840,688,887,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260224.JPEG,2314,3,4,4,0.42145200,0.39335800,0.05253500,0.02525600,607,780,688,831,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260227.JPEG,2315,0,2,2,0.41718200,0.44960600,0.04331700,0.02668600,608,893,674,948,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260227.JPEG,2315,1,3,3,0.41486200,0.41924500,0.04589500,0.02630000,602,832,672,886,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260227.JPEG,2315,2,1,1,0.41327900,0.38695100,0.05112300,0.02900700,596,763,674,822,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260227.JPEG,2315,3,5,5,0.40884600,0.35629500,0.05380200,0.02689100,587,702,669,757,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260303.JPEG,2316,0,2,2,0.41260400,0.41044500,0.04429200,0.02223200,600,818,668,863,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260303.JPEG,2316,1,3,3,0.41260400,0.38213100,0.04429200,0.02349000,600,759,668,807,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260303.JPEG,2316,2,1,1,0.41260400,0.35381700,0.04429200,0.02390900,600,700,668,749,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260303.JPEG,2316,3,6,6,0.40995500,0.32571300,0.04586100,0.02642600,594,640,665,694,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260307.JPEG,2317,0,2,2,0.43334100,0.53480300,0.04053600,0.01939500,634,1075,697,1115,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260307.JPEG,2317,1,3,3,0.43336400,0.51247700,0.03992900,0.02073300,635,1028,696,1071,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260307.JPEG,2317,2,1,1,0.43320100,0.49042500,0.04025600,0.01884800,634,985,696,1024,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260307.JPEG,2317,3,7,7,0.42973500,0.46761900,0.03970600,0.02073300,630,936,691,979,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260310.JPEG,2318,0,2,2,0.42449700,0.53229900,0.04026800,0.01929500,621,1070,683,1110,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260310.JPEG,2318,1,3,3,0.42477600,0.50650200,0.03747200,0.02139300,624,1015,681,1059,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260310.JPEG,2318,2,1,1,0.42449700,0.48217300,0.04138700,0.01971500,620,967,684,1008,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260310.JPEG,2318,3,8,8,0.42309800,0.45784400,0.04194600,0.02307000,618,914,682,961,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260323.JPEG,2320,0,2,2,0.42920100,0.46920800,0.05068900,0.02291100,620,937,698,984,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260323.JPEG,2320,1,3,3,0.42950600,0.44125700,0.05130000,0.02199400,620,881,699,926,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260323.JPEG,2320,2,2,2,0.43011700,0.41330600,0.05252200,0.02566000,620,820,701,873,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260323.JPEG,2320,3,0,0,0.43186000,0.38558500,0.05600800,0.02611800,620,763,706,816,1536,2048,90,human-makesense,reviewed,unknown,
test,meter_20260327.JPEG,2321,0,2,2,0.44140600,0.43937700,0.03828200,0.02162200,649,878,707,922,1536,2048,90,human-makesense,reviewed,unknown,
test,meter_20260327.JPEG,2321,1,3,3,0.44140600,0.41500200,0.03828200,0.02101200,649,828,707,871,1536,2048,90,human-makesense,reviewed,unknown,
test,meter_20260327.JPEG,2321,2,2,2,0.44140600,0.39184900,0.03828200,0.02039800,649,782,707,823,1536,2048,90,human-makesense,reviewed,unknown,
test,meter_20260327.JPEG,2321,3,1,1,0.44140600,0.36798300,0.03828200,0.02243800,649,731,707,777,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260401.JPEG,2322,0,2,2,0.44890500,0.48156700,0.03406300,0.01696300,663,969,716,1004,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260401.JPEG,2322,1,3,3,0.44890500,0.46253000,0.03406300,0.01658600,663,930,716,964,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260401.JPEG,2322,2,2,2,0.44890500,0.44387100,0.03406300,0.01847100,663,890,716,928,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260401.JPEG,2322,3,2,2,0.44946900,0.42276100,0.03293500,0.01545500,665,850,716,882,1536,2048,90,human-makesense,reviewed,unknown,
train,meter_20260409.JPEG,2323,0,2,2,0.43000700,0.51015000,0.03431200,0.01869700,1248,2019,1352,2095,3024,4032,90,human-makesense,reviewed,unknown,
train,meter_20260409.JPEG,2323,1,3,3,0.43026100,0.48902100,0.03380300,0.01745500,1250,1937,1352,2007,3024,4032,90,human-makesense,reviewed,unknown,
train,meter_20260409.JPEG,2323,2,2,2,0.42975300,0.46717600,0.03482100,0.01822000,1247,1847,1352,1920,3024,4032,90,human-makesense,reviewed,unknown,
train,meter_20260409.JPEG,2323,3,3,3,0.42924400,0.44528400,0.03583800,0.01640700,1244,1762,1352,1828,3024,4032,90,human-makesense,reviewed,unknown,
train,meter_20260413.JPEG,2324,0,2,2,0.46509300,0.52026100,0.02728300,0.01373600,1365,2070,1448,2125,3024,4032,90,human-makesense,reviewed,unknown,
train,meter_20260413.JPEG,2324,1,3,3,0.46481700,0.50376400,0.02711100,0.01467800,1365,2002,1447,2061,3024,4032,90,human-makesense,reviewed,unknown,
train,meter_20260413.JPEG,2324,2,2,2,0.46491200,0.48653600,0.02692200,0.01344100,1365,1935,1447,1989,3024,4032,90,human-makesense,reviewed,unknown,
train,meter_20260413.JPEG,2324,3,4,4,0.46491200,0.47046700,0.02692200,0.01564400,1365,1865,1447,1928,3024,4032,90,human-makesense,reviewed,unknown,
train,meter_20260416.JPEG,2325,0,2,2,0.45033100,0.53399700,0.02831600,0.01602600,1319,2121,1405,2185,3024,4032,90,human-makesense,reviewed,unknown,
train,meter_20260416.JPEG,2325,1,3,3,0.45036000,0.51613100,0.02837400,0.01436500,1319,2052,1405,2110,3024,4032,90,human-makesense,reviewed,unknown,
train,meter_20260416.JPEG,2325,2,2,2,0.45036000,0.49774900,0.02837400,0.01602600,1319,1975,1405,2039,3024,4032,90,human-makesense,reviewed,unknown,
train,meter_20260416.JPEG,2325,3,5,5,0.45036000,0.47962500,0.02837400,0.01564400,1319,1902,1405,1965,3024,4032,90,human-makesense,reviewed,unknown,
train,meter_20260420.JPEG,2326,0,2,2,0.42294600,0.53056300,0.03901400,0.01831500,1220,2102,1338,2176,3024,4032,90,human-makesense,reviewed,unknown,
train,meter_20260420.JPEG,2326,1,3,3,0.42345500,0.50900500,0.03799700,0.01869700,1223,2015,1338,2090,3024,4032,90,human-makesense,reviewed,unknown,
train,meter_20260420.JPEG,2326,2,2,2,0.42396400,0.48439400,0.03697900,0.02060400,1226,1912,1338,1995,3024,4032,90,human-makesense,reviewed,unknown,
train,meter_20260420.JPEG,2326,3,6,6,0.42269200,0.46131000,0.03952300,0.01946000,1218,1821,1338,1899,3024,4032,90,human-makesense,reviewed,unknown,
train,meter_20260423.JPEG,2327,0,2,2,0.44874800,0.50843300,0.03018100,0.01640700,1311,2017,1403,2083,3024,4032,90,human-makesense,reviewed,unknown,
train,meter_20260423.JPEG,2327,1,3,3,0.44874800,0.48825400,0.03018100,0.01708100,1311,1934,1403,2003,3024,4032,90,human-makesense,reviewed,unknown,
train,meter_20260423.JPEG,2327,2,2,2,0.44874800,0.46794400,0.03018100,0.01632100,1311,1854,1403,1920,3024,4032,90,human-makesense,reviewed,unknown,
train,meter_20260423.JPEG,2327,3,7,7,0.44874800,0.44719200,0.03018100,0.01602600,1311,1771,1403,1835,3024,4032,90,human-makesense,reviewed,unknown,
train,meter_20260427.JPEG,2328,0,2,2,0.43558700,0.47561800,0.03081700,0.01678900,1271,1884,1364,1952,3024,4032,90,human-makesense,reviewed,unknown,
train,meter_20260427.JPEG,2328,1,3,3,0.43561200,0.45668600,0.03076800,0.01726000,1271,1807,1364,1876,3024,4032,90,human-makesense,reviewed,unknown,
train,meter_20260427.JPEG,2328,2,2,2,0.43558700,0.43708000,0.03081700,0.01678900,1271,1728,1364,1796,3024,4032,90,human-makesense,reviewed,unknown,
train,meter_20260427.JPEG,2328,3,8,8,0.43558700,0.41819300,0.03081700,0.01640700,1271,1653,1364,1719,3024,4032,90,human-makesense,reviewed,unknown,
train,meter_20260507.JPEG,2330,0,2,2,0.44306300,0.50938600,0.03128000,0.01373600,1293,2026,1387,2082,3024,4032,90,human-makesense,reviewed,unknown,
