split,filename,reading,position,digit,class_id,x_center,y_center,width,height,x0_px,y0_px,x1_px,y1_px,image_width,image_height,direction_rotation,annotation_source,review_status,transition_state,notes,roi_x_center,roi_y_center,roi_width,roi_height,major_inset_ratio,minor_inset_ratio
train,meter_20200701.JPEG,1784,0,1,1,0.42465600,0.54253900,0.02267664,0.03390030,846,807,893,859,2048,1536,180,bootstrap-roi-split,pending,unknown,,0.38416200,0.54253900,0.10798400,0.04842900,0.0800,0.1500
train,meter_20200701.JPEG,1784,1,7,7,0.39766000,0.54253900,0.02267664,0.03390030,791,807,838,859,2048,1536,180,bootstrap-roi-split,pending,unknown,,0.38416200,0.54253900,0.10798400,0.04842900,0.0800,0.1500
train,meter_20200701.JPEG,1784,2,8,8,0.37066400,0.54253900,0.02267664,0.03390030,736,807,782,859,2048,1536,180,bootstrap-roi-split,pending,unknown,,0.38416200,0.54253900,0.10798400,0.04842900,0.0800,0.1500
train,meter_20200701.JPEG,1784,3,4,4,0.34366800,0.54253900,0.02267664,0.03390030,681,807,727,859,2048,1536,180,bootstrap-roi-split,pending,unknown,,0.38416200,0.54253900,0.10798400,0.04842900,0.0800,0.1500
train,meter_20201111.JPEG,1819,0,1,1,0.40097325,0.38481700,0.04308570,0.06047090,777,545,865,638,2048,1536,0,bootstrap-roi-split,pending,unknown,,0.47791200,0.38481700,0.20517000,0.08638700,0.0800,0.1500
train,meter_20201111.JPEG,1819,1,8,8,0.45226575,0.38481700,0.04308570,0.06047090,882,545,970,638,2048,1536,0,bootstrap-roi-split,pending,unknown,,0.47791200,0.38481700,0.20517000,0.08638700,0.0800,0.1500
train,meter_20201111.JPEG,1819,2,1,1,0.50355825,0.38481700,0.04308570,0.06047090,987,545,1075,638,2048,1536,0,bootstrap-roi-split,pending,unknown,,0.47791200,0.38481700,0.20517000,0.08638700,0.0800,0.1500
train,meter_20201111.JPEG,1819,3,9,9,0.55485075,0.38481700,0.04308570,0.06047090,1092,545,1180,638,2048,1536,0,bootstrap-roi-split,pending,unknown,,0.47791200,0.38481700,0.20517000,0.08638700,0.0800,0.1500
train,meter_20251009.JPEG,2279,0,2,2,0.44179800,0.51762375,0.05468050,0.03106026,637,1028,721,1092,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.44179800,0.46215900,0.07811500,0.14790600,0.0800,0.1500
train,meter_20251009.JPEG,2279,1,2,2,0.44179800,0.48064725,0.05468050,0.03106026,637,953,721,1016,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.44179800,0.46215900,0.07811500,0.14790600,0.0800,0.1500
